HR,Name,DM,HD,SAO,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Vmag,B-V,SpType,Const-Info
1309,46    Tau,BD+07  617,26690,111672,4.0,13.0,33.1,+,7.0,42.0,58.0,5.29,0.36,F2V+F5V,2V
1310,,BD+12  564,26703,93823,4.0,13.0,49.9,+,12.0,45.0,12.0,6.25,1.16,K0,0
1311,47    Tau,BD+08  652,26722,111674,4.0,13.0,56.4,+,9.0,15.0,49.0,4.84,0.8,G5III+A7V?,5I
1312,,BD-01  600,26739,131041,4.0,13.0,38.2,-,1.0,8.0,59.0,6.44,-0.13,B5IV,5I
1313,,BD+57  787,26755,24514,4.0,17.0,8.2,+,57.0,51.0,38.0,5.71,1.09,K1III,1I
1314,,BD+53  750,26764,24512,4.0,16.0,43.1,+,53.0,36.0,43.0,5.19,0.05,A2Vn,2V
1315,,BD+09  550,26793,111680,4.0,14.0,36.3,+,10.0,0.0,40.0,5.22,-0.1,B9Vn,9V
1316,,CD-44 1450,26820,216694,4.0,12.0,31.6,-,44.0,22.0,6.0,6.71,1.48,K3-4III,3-
1317,,BD+80  133,26836,691,4.0,27.0,2.8,+,80.0,49.0,27.0,5.43,1.17,gG6,6
1318,39    Eri,BD-10  867,26846,149478,4.0,14.0,23.7,-,10.0,15.0,23.0,4.87,1.17,K3III,3I
1319,48    Tau,BD+15  603,26911,93836,4.0,15.0,46.3,+,15.0,24.0,2.0,6.32,0.4,F5V,5V
1320,49Mu  Tau,BD+08  657,26912,111696,4.0,15.0,32.1,+,8.0,53.0,32.0,4.29,-0.06,B3IV,3I
1321,,BD+05  613,26913,111695,4.0,15.0,25.8,+,6.0,11.0,59.0,6.93,0.7,G5IV,5I
1322,,BD+05  614,26923,111698,4.0,15.0,29.2,+,6.0,11.0,12.0,6.31,0.59,G0IV,0I
1323,,CD-40 1286,26927,216705,4.0,13.0,35.7,-,40.0,21.0,28.0,6.37,1.46,K3III,3I
1324,,BD+49 1150,26961,24531,4.0,18.0,14.6,+,50.0,17.0,44.0,4.61,0.04,A2V,2V
1325,40Omi2Eri,BD-07  780,26965,131063,4.0,15.0,16.3,-,7.0,39.0,10.0,4.43,0.82,K1-V,1-
1326,Alp Hor,CD-42 1425,26967,216710,4.0,14.0,0.1,-,42.0,17.0,40.0,3.86,1.1,K1III,1I
1327,,BD+64  433,27022,13098,4.0,20.0,40.3,+,65.0,8.0,26.0,5.27,0.81,G5IIb,5I
1328,,BD+41  844,27026,39447,4.0,18.0,8.2,+,42.0,8.0,28.0,6.22,-0.08,B9V,9V
1329,50Ome2Tau,BD+20  724,27045,76532,4.0,17.0,15.6,+,20.0,34.0,43.0,4.94,0.26,A3m,3m
1330,,BD+49 1155,27084,39457,4.0,19.0,13.3,+,50.0,2.0,56.0,5.45,0.22,A7V,7V
1331,51    Tau,BD+21  618,27176,76541,4.0,18.0,23.2,+,21.0,34.0,45.0,5.65,0.28,F0V,0V
1332,,BD-06  862,27179,131092,4.0,17.0,19.2,-,6.0,28.0,19.0,5.94,1.08,gG8,8
1333,,BD+50  973,27192,24544,4.0,20.0,11.5,+,50.0,55.0,15.0,5.55,-0.01,B1.5IV,1.
1334,,BD+09  558,27236,111729,4.0,18.0,24.5,+,9.0,29.0,12.0,6.54,0.16,A4III,4I
1335,,BD+60  800,27245,13113,4.0,21.0,47.6,+,60.0,44.0,8.0,5.39,1.49,M0III,0I
1336,Alp Ret,CP-62  332,27256,248969,4.0,14.0,25.5,-,62.0,28.0,26.0,3.35,0.91,G8II-III,8I
1337,,BD+41  852,27278,39468,4.0,20.0,14.4,+,41.0,48.0,29.0,5.92,0.94,K0III,0I
1338,Gam Dor,CD-51 1066,27290,233457,4.0,16.0,1.6,-,51.0,29.0,12.0,4.25,0.3,F4III,4I
1339,53    Tau,BD+20  733,27295,76548,4.0,19.0,26.1,+,21.0,8.0,32.0,5.35,-0.08,B9IV,9I
1340,,CP-62  334,27304,248973,4.0,14.0,48.7,-,62.0,11.0,31.0,5.45,1.1,K0III,0I
1341,56    Tau,BD+21  623,27309,76551,4.0,19.0,36.7,+,21.0,46.0,25.0,5.38,-0.14,A0pSi,0p
1342,,BD+56  905,27322,24563,4.0,21.0,51.8,+,56.0,30.0,24.0,5.88,,A3V,3V
1343,54    Per,BD+34  860,27348,57171,4.0,20.0,24.6,+,34.0,34.0,0.0,4.93,0.94,G8III,8I
1344,,BD+31  757,27349,57166,4.0,20.0,10.0,+,31.0,57.0,12.0,6.16,1.71,K5,5
1345,,BD-21  831,27362,169317,4.0,18.0,15.9,-,20.0,42.0,56.0,6.0,1.67,G8III,8I
1346,54Gam Tau,BD+15  612,27371,93868,4.0,19.0,47.6,+,15.0,37.0,39.0,3.65,0.99,K0-IIIabCN1,0-
1347,41Ups4Eri,CD-34 1614,27376,194902,4.0,17.0,53.7,-,33.0,47.0,54.0,3.56,-0.12,B9V,9V
1348,52Phi Tau,BD+27  655,27382,76558,4.0,20.0,21.3,+,27.0,21.0,3.0,4.95,1.15,K1III,1I
1349,,BD+09  562,27386,93866,4.0,19.0,37.5,+,10.0,7.0,17.0,6.31,1.43,K0,0
1350,53    Per,BD+46  872,27396,39483,4.0,21.0,33.2,+,46.0,29.0,56.0,4.85,-0.03,B4IV,4I
1351,57    Tau,BD+13  663,27397,93872,4.0,19.0,57.7,+,14.0,2.0,7.0,5.59,0.28,F0IV,0I
1352,,BD+59  793,27402,24577,4.0,22.0,57.9,+,59.0,36.0,59.0,6.19,,A4V,4V
1353,,CD-23 1856,27411,169325,4.0,18.0,37.4,-,22.0,58.0,13.0,6.07,0.3,Am,m
1354,,BD+18  624,27429,93874,4.0,20.0,25.1,+,18.0,44.0,33.0,6.12,0.37,F3:V,3:
1355,Eps Ret,CP-59  324,27442,233463,4.0,16.0,28.9,-,59.0,18.0,7.0,4.44,1.08,K2IVa,2I
1356,58    Tau,BD+14  682,27459,93876,4.0,20.0,36.3,+,15.0,5.0,43.0,5.26,0.22,F0V,0V
1357,,CP-61  317,27463,248977,4.0,16.0,21.1,-,60.0,56.0,55.0,6.37,0.07,ApEuCrSr:,pE
1358,,BD+13  665,27483,93878,4.0,20.0,52.8,+,13.0,51.0,51.0,6.17,0.46,F6V,6V
1359,,CD-34 1626,27490,194923,4.0,19.0,3.0,-,33.0,54.0,18.0,6.37,0.13,A3V,3V
1360,,BD+05  631,27497,111756,4.0,20.0,41.2,+,6.0,7.0,51.0,5.77,0.92,G8III-IV,8I
1361,,BD+08  672,27505,111759,4.0,20.0,49.0,+,9.0,13.0,32.0,6.53,0.15,A4V,4V
1362,,BD-06  875,27536,131129,4.0,20.0,38.7,-,6.0,14.0,44.0,6.27,0.91,G8IV:,8I
1363,,BD-07  798,27563,131132,4.0,20.0,42.8,-,7.0,35.0,33.0,5.85,-0.13,B5III,5I
1364,,CD-44 1503,27588,216749,4.0,19.0,16.6,-,44.0,16.0,5.0,5.34,1.08,K2III,2I
1365,,CP-53  679,27604,233476,4.0,18.0,40.0,-,52.0,51.0,36.0,6.09,0.49,F7IV-V,7I
1366,,BD-00  687,27611,131140,4.0,21.0,27.1,-,0.0,5.0,53.0,5.86,1.32,K3III,3I
1367,,BD-20  831,27616,169354,4.0,20.0,39.0,-,20.0,38.0,23.0,5.38,-0.02,A2V,2V
1368,60    Tau,BD+13  668,27628,93892,4.0,22.0,3.5,+,14.0,4.0,38.0,5.72,0.32,A3m,3m
1369,59Chi Tau,BD+25  707,27638,76573,4.0,22.0,34.9,+,25.0,37.0,45.0,5.37,-0.05,B9V,9V
1370,,BD+20  744,27639,76571,4.0,22.0,22.8,+,20.0,49.0,17.0,5.91,1.66,"M0IIIab+A,F",0I
1371,,BD+42  946,27650,39501,4.0,23.0,35.9,+,42.0,25.0,41.0,6.23,0.0,A1pSi,1p
1372,The Ret,CP-63  316,27657,248986,4.0,17.0,40.2,-,63.0,15.0,20.0,5.87,-0.07,B9III-IV,9I
1373,61Del1Tau,BD+17  712,27697,93897,4.0,22.0,56.1,+,17.0,32.0,33.0,3.76,0.98,K0-IIICN0.5,0-
1374,,CD-26 1642,27710,169368,4.0,21.0,31.3,-,25.0,43.0,42.0,6.01,0.35,F0IV-V,0I
1375,,BD+20  751,27742,76585,4.0,23.0,32.4,+,20.0,58.0,56.0,5.99,0.03,B8IV-V,8I
1376,63    Tau,BD+16  586,27749,93900,4.0,23.0,25.0,+,16.0,46.0,38.0,5.64,0.3,A1m,1m
1377,55    Per,BD+33  853,27777,57212,4.0,24.0,29.2,+,34.0,7.0,50.0,5.73,-0.06,B8V,8V
1378,62    Tau,BD+23  684,27778,76591,4.0,23.0,59.8,+,24.0,18.0,4.0,6.36,0.17,B3V,3V
1379,56    Per,BD+33  854,27786,57216,4.0,24.0,37.4,+,33.0,57.0,35.0,5.76,0.4,F4V,4V
1380,64Del2Tau,BD+17  714,27819,93907,4.0,24.0,5.8,+,17.0,26.0,38.0,4.8,0.15,A7V,7V
1381,66    Tau,BD+09  570,27820,111791,4.0,23.0,51.9,+,9.0,27.0,39.0,5.12,0.07,A3V,3V
1382,,BD+57  800,27855,24615,4.0,27.0,0.9,+,57.0,35.0,7.0,6.32,0.04,A0III,0I
1383,42Xi  Eri,BD-04  818,27861,131176,4.0,23.0,40.8,-,3.0,44.0,44.0,5.17,0.08,A2V,2V
1384,,CD-25 1862,27881,169391,4.0,23.0,5.7,-,24.0,53.0,32.0,5.83,1.51,K5,5
1385,,BD+18  633,27901,93918,4.0,24.0,57.1,+,19.0,2.0,30.0,5.98,0.37,F4V,4V
1386,,CD-35 1687,27941,194971,4.0,23.0,7.7,-,35.0,32.0,42.0,6.39,1.24,K1III,1I
1387,65Kap1Tau,BD+21  642,27934,76601,4.0,25.0,22.1,+,22.0,17.0,38.0,4.22,0.13,A7IV-V,7I
1388,67Kap2Tau,BD+21  643,27946,76602,4.0,25.0,25.0,+,22.0,11.0,59.0,5.28,0.25,A7V,7V
1389,68Del3Tau,BD+17  719,27962,93923,4.0,25.0,29.4,+,17.0,55.0,41.0,4.29,0.05,A2IV,2I
1390,,BD+31  776,27971,57229,4.0,26.0,6.3,+,31.0,26.0,20.0,5.28,0.97,K1III,1I
1391,70    Tau,BD+15  621,27991,93925,4.0,25.0,37.3,+,15.0,56.0,27.0,6.46,0.49,F7V,7V
1392,69Ups Tau,BD+22  696,28024,76608,4.0,26.0,18.5,+,22.0,48.0,49.0,4.28,0.26,A8Vn,8V
1393,43    Eri,CD-34 1664,28028,194984,4.0,24.0,2.2,-,34.0,1.0,1.0,3.96,1.49,K4III,4I
1394,71    Tau,BD+15  625,28052,93932,4.0,26.0,20.8,+,15.0,37.0,6.0,4.49,0.25,F0V,0V
1395,Eta Ret,CP-63  324,28093,249009,4.0,21.0,53.3,-,63.0,23.0,11.0,5.24,0.96,G8III,8I
1396,73Pi  Tau,BD+14  697,28100,93935,4.0,26.0,36.4,+,14.0,42.0,49.0,4.69,0.98,G7IIIaFe-1,7I
1397,,BD+08  687,28114,111817,4.0,26.0,21.1,+,8.0,35.0,25.0,6.06,0.02,B6IV,6I
1398,,CD-35 1704,28143,194996,4.0,24.0,56.4,-,34.0,45.0,28.0,6.55,0.44,F2III,2I
1399,72    Tau,BD+22  699,28149,76613,4.0,27.0,17.5,+,22.0,59.0,47.0,5.53,-0.1,B7V,7V
1400,,BD+01  753,28191,111827,4.0,27.0,0.7,+,2.0,4.0,46.0,6.23,1.09,K1III,1I
1401,,BD+72  227,28204,5238,4.0,33.0,30.7,+,72.0,31.0,43.0,5.94,0.3,A8m,8m
1402,,BD+10  577,28217,93943,4.0,27.0,28.8,+,11.0,12.0,45.0,5.88,0.05,B8IV,8I
1403,,BD+21  647,28226,76618,4.0,28.0,0.8,+,21.0,37.0,12.0,5.72,0.27,Am,m
1404,,CD-44 1546,28246,216790,4.0,25.0,19.1,-,44.0,9.0,39.0,6.39,0.44,F6V,6V
1405,,CP-57  659,28255,233506,4.0,24.0,12.2,-,57.0,4.0,17.0,6.29,0.66,G4V,4V
1406,,BD+30  665,28271,57249,4.0,28.0,51.9,+,30.0,21.0,41.0,6.4,0.52,F7V,7V
1407,75    Tau,BD+16  605,28292,93950,4.0,28.0,26.4,+,16.0,21.0,35.0,4.97,1.13,K2III,2I
1408,76    Tau,BD+14  702,28294,93948,4.0,28.0,23.4,+,14.0,44.0,27.0,5.9,0.32,F0IV,0I
1409,74Eps Tau,BD+18  640,28305,93954,4.0,28.0,37.0,+,19.0,10.0,49.0,3.53,1.01,G9.5IIICN0.5,9.
1410,,CD-24 2343,28312,169455,4.0,26.0,57.0,-,24.0,4.0,53.0,6.11,0.14,A2,2
1411,77The1Tau,BD+15  631,28307,93955,4.0,28.0,34.5,+,15.0,57.0,44.0,3.84,0.95,K0IIIbFe-0.5,0I
1412,78The2Tau,BD+15  632,28319,93957,4.0,28.0,39.7,+,15.0,52.0,15.0,3.4,0.18,A7III,7I
1413,,BD+01  755,28322,111840,4.0,28.0,3.6,+,1.0,51.0,31.0,6.15,1.02,G9III,9I
1414,79    Tau,BD+12  598,28355,93960,4.0,28.0,50.2,+,13.0,2.0,51.0,5.03,0.23,A7V,7V
1415,,BD+01  757,28375,111845,4.0,28.0,32.1,+,1.0,22.0,51.0,5.55,-0.1,B3V,3V
1416,,CP-61  335,28413,249016,4.0,25.0,5.3,-,61.0,14.0,18.0,5.94,1.54,K4-5III,4-
1417,1    Cam,BD+53  779,28446,24672,4.0,32.0,1.8,+,53.0,54.0,39.0,5.77,0.18,B0III,0I
1418,,CD-47 1383,28454,216809,4.0,27.0,6.0,-,46.0,56.0,51.0,6.1,0.46,F5-6V,5-
1419,,BD+32  806,28459,57269,4.0,30.0,38.3,+,32.0,27.0,29.0,6.21,-0.04,B9.5Vn,9.
1420,,BD+10  583,28475,93968,4.0,29.0,42.9,+,10.0,31.0,18.0,6.79,0.09,B5V,5V
1421,,BD-19  931,28479,149668,4.0,28.0,39.0,-,19.0,27.0,30.0,5.96,1.22,K1III,1I
1422,80    Tau,BD+15  636,28485,93970,4.0,30.0,8.6,+,15.0,38.0,17.0,5.58,0.32,F0V,0V
1423,,BD-13  893,28497,149674,4.0,29.0,6.9,-,13.0,2.0,54.0,5.6,-0.23,B1Vne,1V
1424,,BD+39 1013,28503,57278,4.0,31.0,24.0,+,40.0,0.0,37.0,6.26,0.04,B8V,8V
1425,,BD+09  590,28505,93971,4.0,30.0,2.4,+,10.0,15.0,45.0,6.48,1.03,G8III,8I
1426,Del Men,CP-80  116,28525,258372,4.0,17.0,59.1,-,80.0,12.0,50.0,5.69,0.84,K2-3III+A,2-
1427,,BD+15  637,28527,93975,4.0,30.0,33.7,+,16.0,11.0,38.0,4.78,0.17,A6IV,6I
1428,81    Tau,BD+15  639,28546,93978,4.0,30.0,38.9,+,15.0,41.0,31.0,5.48,0.26,A5m,5m
1429,,CD-42 1510,28552,216821,4.0,28.0,9.4,-,41.0,57.0,36.0,6.44,1.64,M1III,1I
1430,83    Tau,BD+13  690,28556,93979,4.0,30.0,37.3,+,13.0,43.0,28.0,5.4,0.26,F0V,0V
1431,,BD-13  896,28625,149682,4.0,30.0,9.7,-,13.0,35.0,32.0,6.24,1.0,G5,5
1432,85    Tau,BD+15  645,28677,93993,4.0,31.0,51.8,+,15.0,51.0,6.0,6.02,0.34,F4V,4V
1433,,CD-46 1427,28700,216832,4.0,29.0,20.0,-,46.0,30.0,55.0,6.16,1.06,K1III,1I
1434,57    Per,BD+42  990,28704,39604,4.0,33.0,24.9,+,43.0,3.0,50.0,6.09,0.38,F0V,0V
1435,,CP-62  357,28732,249029,4.0,27.0,45.9,-,62.0,31.0,15.0,5.75,1.01,K0III,0I
1436,,BD+05  674,28736,111879,4.0,32.0,4.8,+,5.0,24.0,36.0,6.39,0.42,F5V,5V
1437,45    Eri,BD-00  713,28749,131270,4.0,31.0,52.7,-,0.0,2.0,38.0,4.91,1.32,K3II-III,3I
1438,,BD-13  904,28763,149702,4.0,31.0,25.9,-,13.0,38.0,42.0,6.21,0.12,A3V,3V
1439,,CD-35 1768,28776,195085,4.0,30.0,40.3,-,35.0,39.0,13.0,5.96,1.0,K0II,0I
1440,,BD+63  515,28780,13196,4.0,36.0,24.2,+,64.0,15.0,42.0,5.94,-0.03,A1V,1V
1441,,BD-03  809,28843,131279,4.0,32.0,37.4,-,3.0,12.0,33.0,5.81,-0.14,B9III,9I
1442,,BD+17  750,28867,94002,4.0,33.0,32.9,+,18.0,1.0,0.0,6.25,0.07,B9IVn,9I
1443,Del Cae,CD-45 1567,28873,216850,4.0,30.0,50.1,-,44.0,57.0,14.0,5.07,-0.19,B2IV-V,2I
1444,86Rho Tau,BD+14  720,28910,94007,4.0,33.0,50.9,+,14.0,50.0,40.0,4.65,0.25,A8V,8V
1445,,BD+28  666,28929,76654,4.0,34.0,38.0,+,28.0,57.0,40.0,5.88,-0.06,B9pHg,9p
1446,,BD+09  600,28930,111890,4.0,33.0,48.1,+,9.0,24.0,47.0,6.01,1.06,G8III,8I
1447,,BD-11  900,28970,149725,4.0,33.0,22.0,-,10.0,47.0,9.0,6.06,1.38,K0,0
1448,,BD+05  679,28978,111896,4.0,34.0,8.3,+,5.0,34.0,7.0,5.68,0.05,A2V s,2V
1449,46    Eri,BD-07  838,29009,131309,4.0,33.0,54.8,-,6.0,44.0,20.0,5.72,-0.13,B9pSi,9p
1450,,BD-07  841,29063,131317,4.0,34.0,14.2,-,6.0,50.0,16.0,6.09,1.38,K2III,2I
1451,47    Eri,BD-08  887,29064,131315,4.0,34.0,11.6,-,8.0,13.0,53.0,5.11,1.7,M3III,3I
1452,,BD-09  930,29065,131316,4.0,34.0,11.7,-,8.0,58.0,13.0,5.26,1.47,K4III,4I
1453,50Ups1Eri,CD-30 1883,29085,169570,4.0,33.0,30.6,-,29.0,46.0,0.0,4.51,0.98,K0IIICN-1,0I
1454,58    Per,BD+40 1000,29094,39639,4.0,36.0,41.4,+,41.0,15.0,53.0,4.25,1.22,K4III+A3V,4I
1455,,BD+19  742,29104,94022,4.0,35.0,42.7,+,19.0,52.0,54.0,6.36,,G5II-III+A-F,5I
1456,Nu  Men,CP-81  115,29116,258378,4.0,20.0,57.9,-,81.0,34.0,48.0,5.79,0.35,F0-2III,0-
1457,87Alp Tau,BD+16  629,29139,94027,4.0,35.0,55.2,+,16.0,30.0,33.0,0.85,1.54,K5+III,5+
1458,88    Tau,BD+09  607,29140,94026,4.0,35.0,39.3,+,10.0,9.0,39.0,4.25,0.18,A5m,5m
1459,,BD+23  715,29169,76670,4.0,36.0,29.2,+,23.0,20.0,27.0,6.02,0.38,F5IV,5I
1460,,BD-10  959,29173,131335,4.0,35.0,14.0,-,9.0,44.0,12.0,6.37,0.11,A1m,1m
1461,,BD-20  880,29184,169584,4.0,35.0,0.5,-,19.0,55.0,14.0,6.13,1.17,K3III,3I
1462,,BD-03  830,29227,131344,4.0,36.0,1.6,-,3.0,36.0,43.0,6.33,-0.1,B7III,7I
1463,48Nu  Eri,BD-03  834,29248,131346,4.0,36.0,19.1,-,3.0,21.0,9.0,3.93,-0.21,B2III,2I
1464,52Ups2Eri,CD-30 1901,29291,195148,4.0,35.0,33.0,-,30.0,33.0,44.0,3.82,0.98,G8IIIa,8I
1465,Alp Dor,CP-55  663,29305,233564,4.0,33.0,59.8,-,55.0,2.0,42.0,3.27,-0.1,A0IIISi,0I
1466,2    Cam,BD+53  794,29316,24744,4.0,39.0,58.1,+,53.0,28.0,23.0,5.35,0.32,A8V,8V
1467,3    Cam,BD+52  865,29317,24743,4.0,39.0,54.7,+,53.0,4.0,47.0,5.05,1.07,K0III,0I
1468,,BD+76  174,29329,5289,4.0,46.0,0.3,+,76.0,36.0,40.0,6.49,0.51,F7V,7V
1469,,BD+00  798,29335,111928,4.0,37.0,13.7,+,0.0,59.0,54.0,5.31,-0.12,B7V,7V
1470,,BD+26  731,29364,76682,4.0,38.0,29.6,+,26.0,56.0,24.0,6.47,,F2V:,2V
1471,,BD+20  785,29365,76680,4.0,38.0,15.8,+,20.0,41.0,5.0,5.92,-0.05,B8V,8V
1472,89    Tau,BD+15  661,29375,94043,4.0,38.0,9.4,+,16.0,2.0,0.0,5.79,0.31,F0V,0V
1473,90    Tau,BD+12  618,29388,94044,4.0,38.0,9.5,+,12.0,30.0,39.0,4.27,0.12,A6V,6V
1474,51    Eri,BD-02  963,29391,131358,4.0,37.0,36.1,-,2.0,28.0,24.0,5.23,0.28,F0V,0V
1475,,CP-63  342,29399,249054,4.0,33.0,34.0,-,62.0,49.0,25.0,5.79,1.04,K1III,1I
1476,,CD-30 1911,29435,195163,4.0,36.0,50.9,-,30.0,43.0,0.0,6.3,-0.1,B9IV-V,9I
1477,,BD+24  674,29459,76689,4.0,39.0,23.1,+,25.0,13.0,6.0,6.22,0.16,A5Vn,5V
1478,91Sig1Tau,BD+15  665,29479,94051,4.0,39.0,9.2,+,15.0,47.0,59.0,5.07,0.15,A4m,4m
1479,92Sig2Tau,BD+15  666,29488,94054,4.0,39.0,16.5,+,15.0,55.0,5.0,4.69,0.15,A5Vn,5V
1480,,BD+07  681,29499,111954,4.0,39.0,6.2,+,7.0,52.0,15.0,5.39,0.26,A5m,5m
1481,53    Eri,BD-14  933,29503,149781,4.0,38.0,10.8,-,14.0,18.0,14.0,3.87,1.09,K2IIIb,2I
1482,,BD+48 1128,29526,39688,4.0,41.0,24.1,+,48.0,18.0,3.0,5.67,-0.02,A0V,0V
1483,,BD-12  955,29573,149789,4.0,38.0,53.6,-,12.0,7.0,23.0,5.01,0.07,A2IV,2I
1484,93    Tau,BD+11  639,29589,94063,4.0,40.0,3.4,+,12.0,11.0,52.0,5.46,-0.12,B8IV,8I
1485,,CP-83   91,29598,258379,4.0,22.0,50.9,-,82.0,53.0,57.0,6.76,0.2,A7IV-V,7I
1486,,BD+59  826,29606,24777,4.0,43.0,18.1,+,59.0,31.0,15.0,6.5,,A7IV,7I
1487,,BD-14  936,29613,149797,4.0,39.0,19.7,-,14.0,21.0,33.0,5.45,1.06,K1IVa,1I
1488,,BD-01  689,29610,131392,4.0,39.0,47.2,-,1.0,3.0,10.0,6.1,0.94,K0,0
1489,,BD+37  954,29645,57377,4.0,41.0,50.3,+,38.0,16.0,49.0,5.99,0.57,G0V,0V
1490,,BD+28  680,29646,76707,4.0,41.0,19.8,+,28.0,36.0,54.0,5.78,-0.03,A2V,2V
1491,,BD+75  189,29678,5309,4.0,48.0,50.3,+,75.0,56.0,28.0,6.06,0.28,A9IV,9I
1492,,CP-62  372,29712,249066,4.0,36.0,45.6,-,62.0,4.0,39.0,5.4,1.58,M8eIII:,8e
1493,,BD+49 1230,29721,39702,4.0,43.0,21.6,+,49.0,58.0,26.0,5.87,0.02,B9III,9I
1494,59    Per,BD+43 1043,29722,39699,4.0,42.0,54.3,+,43.0,21.0,54.0,5.29,0.0,A1Vn,1V
1495,,CD-24 2488,29737,169650,4.0,40.0,6.8,-,24.0,28.0,57.0,5.58,0.92,G6III,6I
1496,54    Eri,BD-19  988,29755,149818,4.0,40.0,26.5,-,19.0,40.0,18.0,4.32,1.61,M4III,4I
1497,94Tau Tau,BD+22  739,29763,76721,4.0,42.0,14.7,+,22.0,57.0,25.0,4.28,-0.13,B3V,3V
1498,,CD-51 1207,29805,233605,4.0,39.0,4.3,-,51.0,40.0,22.0,6.44,1.32,K2III,2I
1499,95    Tau,BD+23  733,29859,76727,4.0,43.0,13.8,+,24.0,5.0,20.0,6.13,0.54,F7IV-V,7I
1500,,BD+40 1032,29866,39715,4.0,44.0,12.9,+,40.0,47.0,13.0,6.08,0.06,B8IVne,8I
1501,,BD+32  827,29867,57393,4.0,43.0,48.3,+,32.0,51.0,55.0,6.45,,A8V,8V
1502,Alp Cae,CD-42 1587,29875,216926,4.0,40.0,33.7,-,41.0,51.0,50.0,4.45,0.34,F2V,2V
1503,Bet Cae,CD-37 1867,29992,195239,4.0,42.0,3.5,-,37.0,8.0,40.0,5.05,0.37,F1V,1V
1504,,CP-59  370,30003,233622,4.0,40.0,18.3,-,58.0,56.0,37.0,6.53,0.68,G5V,5V
1505,55    Eri,BD-09  969,30020,131442,4.0,43.0,34.6,-,8.0,47.0,37.0,6.82,0.39,F4IIIpSr,4I
1506,55    Eri,BD-09  970,30021,131443,4.0,43.0,35.1,-,8.0,47.0,46.0,6.7,0.92,G8III,8I
1507,,BD+10  621,30034,94095,4.0,44.0,25.8,+,11.0,8.0,46.0,5.4,0.25,F0V,0V
1508,56    Eri,BD-08  929,30076,131451,4.0,44.0,5.3,-,8.0,30.0,13.0,5.9,-0.11,B2Ve,2V
1509,,CD-30 1968,30080,195250,4.0,43.0,9.3,-,30.0,45.0,56.0,5.68,1.41,K2III,2I
1510,,BD+70  322,30085,5326,4.0,50.0,36.4,+,70.0,56.0,30.0,6.37,-0.08,A0IV,0I
1511,4    Cam,BD+56  973,30121,24829,4.0,48.0,0.3,+,56.0,45.0,26.0,5.3,0.25,A3m,3m
1512,,BD+23  739,30122,76737,4.0,45.0,42.5,+,23.0,37.0,41.0,6.35,0.06,B5III,5I
1513,,BD-18  906,30127,149856,4.0,44.0,8.0,-,18.0,40.0,0.0,5.53,0.02,A3V,3V
1514,,BD+40 1045,30138,39746,4.0,46.0,44.4,+,40.0,18.0,46.0,5.97,0.93,G9III,9I
1515,,BD+55  928,30144,24834,4.0,48.0,7.0,+,55.0,36.0,9.0,6.26,,F0,0
1516,Lam Pic,CD-50 1471,30185,233638,4.0,42.0,46.4,-,50.0,28.0,53.0,5.31,0.98,K0-1III,0-
1517,,BD+18  719,30197,94112,4.0,46.0,16.8,+,18.0,44.0,6.0,6.01,1.21,K4III,4I
1518,,CD-41 1549,30202,216961,4.0,43.0,44.2,-,41.0,3.0,53.0,6.25,1.46,K3-4III,3-
1519,,BD+11  646,30210,94111,4.0,46.0,1.7,+,11.0,42.0,20.0,5.37,0.19,A2m,2m
1520,57Mu  Eri,BD-03  876,30211,131468,4.0,45.0,30.1,-,3.0,15.0,17.0,4.02,-0.15,B5IV,5I
1521,,BD-21  966,30238,169727,4.0,45.0,4.2,-,21.0,17.0,1.0,5.72,1.47,gK2,2
1522,,BD-03  884,30321,131481,4.0,46.0,24.1,-,2.0,57.0,16.0,6.33,0.04,A2V,2V
1523,,BD+80  155,30338,783,5.0,0.0,20.7,+,81.0,11.0,38.0,5.07,1.28,K3III,3I
1524,,CD-34 1859,30397,195275,4.0,45.0,49.6,-,34.0,0.0,18.0,6.86,0.0,A0V,0V
1525,,CD-28 1735,30422,169752,4.0,46.0,25.8,-,28.0,5.0,15.0,6.19,0.19,A3IV,3I
1526,,CD-39 1624,30432,195278,4.0,45.0,55.4,-,39.0,21.0,24.0,6.05,1.07,K1III,1I
1527,,BD+63  543,30442,13291,4.0,52.0,5.2,+,63.0,30.0,19.0,5.44,1.57,M3IIIab,3I
1528,,BD+32  840,30453,57444,4.0,49.0,19.0,+,32.0,35.0,18.0,5.86,0.24,A8m,8m
1529,,BD+31  816,30454,57441,4.0,49.0,12.8,+,31.0,26.0,14.0,5.58,1.12,K2III,2I
1530,Kap Dor,CP-59  376,30478,233664,4.0,44.0,21.1,-,59.0,43.0,58.0,5.27,0.2,A8-9III-IV,8-
1531,,CP-77  181,30479,256116,4.0,38.0,21.7,-,77.0,39.0,22.0,6.05,1.1,K2III,2I
1532,58    Eri,BD-17  954,30495,149888,4.0,47.0,36.3,-,16.0,56.0,4.0,5.51,0.63,G2.5V,2.
1533,,BD+37  969,30504,57447,4.0,49.0,54.6,+,37.0,29.0,18.0,4.88,1.44,K3.5IIIBa0.2:,3.
1534,,BD+03  681,30545,112098,4.0,48.0,44.6,+,3.0,35.0,18.0,6.03,1.19,K1III,1I
