HR,Name,DM,HD,SAO,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Vmag,B-V,SpType,Const-Info
53,,BD+26   23,1083,73842,0.0,15.0,10.6,+,27.0,16.0,59.0,6.35,-0.02,A1Vn,1V
54,,CD-35   65,1089,192418,0.0,14.0,58.2,-,34.0,54.0,16.0,6.17,1.34,K3III,3I
55,,BD+76    5,1141,4071,0.0,16.0,14.0,+,76.0,57.0,3.0,6.35,-0.07,B8Vnn,8V
56,,BD+42   41,1185,36221,0.0,16.0,21.6,+,43.0,35.0,41.0,6.15,0.05,A2VpSi,2V
57,,CD-32   72,1187,192430,0.0,16.0,8.9,-,31.0,26.0,47.0,5.67,1.35,K5III,5I
58,,CP-76   19,1221,255650,0.0,15.0,55.2,-,75.0,54.0,41.0,6.49,1.0,G8-K0III,8-
59,36    Psc,BD+07   27,1227,109100,0.0,16.0,34.1,+,8.0,14.0,24.0,6.11,0.92,G8II-III,8I
60,,BD+60   21,1239,11084,0.0,16.0,57.1,+,61.0,32.0,0.0,5.74,0.88,G8III,8I
61,,BD-21   24,1256,166167,0.0,16.0,42.5,-,20.0,12.0,38.0,6.47,-0.09,B8III,8I
62,,BD+47   50,1279,36236,0.0,17.0,9.1,+,47.0,56.0,51.0,5.89,-0.09,B7III,7I
63,24The And,BD+37   34,1280,53777,0.0,17.0,5.5,+,38.0,40.0,54.0,4.61,0.06,A2V,2V
64,,CP-79    7,1324,255652,0.0,16.0,49.0,-,78.0,46.0,50.0,6.77,0.46,F3III,3I
65,,BD+50   46,1337,21273,0.0,17.0,43.0,+,51.0,25.0,59.0,6.14,-0.13,O9IIInn,9I
66,,BD-19   30,1343,147205,0.0,17.0,32.6,-,19.0,3.0,4.0,6.45,0.37,F4IV-V,4I
67,,BD+00   28,1367,109119,0.0,17.0,47.7,+,1.0,41.0,20.0,6.17,0.94,K0II,0I
68,25Sig And,BD+35   44,1404,53798,0.0,18.0,19.7,+,36.0,47.0,7.0,4.52,0.05,A2V,2V
69,,BD+10   25,1419,91832,0.0,18.0,17.2,+,11.0,12.0,21.0,6.05,1.03,K0III,0I
70,26    And,BD+42   48,1438,36256,0.0,18.0,42.1,+,43.0,47.0,28.0,6.11,-0.08,B8V,8V
71,,BD+30   35,1439,53803,0.0,18.0,38.3,+,31.0,31.0,2.0,5.87,-0.01,A0IV,0I
72,,BD-08   38,1461,128690,0.0,18.0,41.8,-,8.0,3.0,10.0,6.46,0.68,G0V,0V
73,,CD-43   64,1483,215047,0.0,18.0,42.6,-,43.0,14.0,7.0,6.33,1.21,K2III,2I
74,8Iot Cet,BD-09   48,1522,128694,0.0,19.0,25.7,-,8.0,49.0,26.0,3.56,1.22,K1.5III,1.
75,,BD+39   56,1527,36269,0.0,19.0,41.6,+,40.0,43.0,47.0,6.33,1.18,K1III,1I
76,,BD+48   79,1561,36272,0.0,20.0,5.2,+,48.0,51.0,55.0,6.52,,A0V s,0V
77,Zet Tuc,CP-65   13,1581,248163,0.0,20.0,4.3,-,64.0,52.0,29.0,4.23,0.58,F9V,9V
78,,BD+30   42,1606,53820,0.0,20.0,24.4,+,30.0,56.0,9.0,5.9,-0.1,B7V,7V
79,,BD+32   45,1632,53825,0.0,20.0,45.5,+,32.0,54.0,41.0,5.79,1.59,K5III,5I
80,41    Psc,BD+07   36,1635,109152,0.0,20.0,35.9,+,8.0,11.0,25.0,5.37,1.34,gK3,3
81,,BD+10   32,1663,91858,0.0,20.0,54.5,+,10.0,58.0,37.0,6.56,,A0V,0V
82,27Rho And,BD+37   45,1671,53828,0.0,21.0,7.3,+,37.0,58.0,7.0,5.18,0.42,F5III,5I
83,Pi  Tuc,CP-70   12,1685,248167,0.0,20.0,39.0,-,69.0,37.0,30.0,5.51,-0.05,B9V,9V
84,Iot Scl,CD-29   86,1737,166207,0.0,21.0,31.2,-,28.0,58.0,54.0,5.18,1.0,G5III,5I
85,,BD-20   50,1760,166210,0.0,21.0,46.3,-,20.0,3.0,28.0,5.12,1.82,M5IIe,5I
86,42    Psc,BD+12   25,1796,91866,0.0,22.0,25.5,+,13.0,28.0,57.0,6.23,1.22,K3III,3I
87,,CP-78    9,1801,255663,0.0,21.0,28.6,-,77.0,25.0,37.0,5.97,1.4,K3III,3I
88,9    Cet,BD-13   60,1835,147237,0.0,22.0,51.8,-,12.0,12.0,34.0,6.39,0.66,G2V,2V
89,,CD-31  138,1909,192495,0.0,23.0,12.6,-,31.0,2.0,10.0,6.55,0.0,B9IVMn,9I
90,,BD+37   58,1967,53860,0.0,24.0,2.0,+,38.0,34.0,38.0,7.39,1.97,S6.5IIIeZr6Ti2,6.
91,,BD+51   62,1976,21366,0.0,24.0,15.6,+,52.0,1.0,12.0,5.57,-0.12,B5IV,5I
93,12    Cas,BD+61   69,2011,11172,0.0,24.0,47.5,+,61.0,49.0,52.0,5.4,0.0,B9III,9I
94,,BD-03   49,2023,128743,0.0,24.0,29.7,-,2.0,13.0,9.0,6.07,1.22,K1III,1I
96,,BD+52   61,2054,21381,0.0,25.0,6.4,+,53.0,2.0,49.0,5.74,-0.06,B9IV,9I
97,44    Psc,BD+01   57,2114,109192,0.0,25.0,24.2,+,1.0,56.0,23.0,5.77,0.86,G5III,5I
98,Bet Hyi,CP-77   16,2151,255670,0.0,25.0,45.1,-,77.0,15.0,15.0,2.8,0.62,G2IV,2I
99,Alp Phe,CD-42  116,2261,215093,0.0,26.0,17.0,-,42.0,18.0,22.0,2.39,1.09,K0III,0I
100,Kap Phe,CD-44  101,2262,215092,0.0,26.0,12.2,-,43.0,40.0,48.0,3.94,0.17,A7V,7V
101,10    Cet,BD-00   63,2273,128760,0.0,26.0,37.4,-,0.0,2.0,59.0,6.19,0.9,G8III,8I
102,,CD-26  138,2363,166282,0.0,27.0,14.7,-,25.0,32.0,50.0,5.98,1.03,G8III,8I
103,47    Psc,BD+17   55,2411,91910,0.0,28.0,2.9,+,17.0,53.0,35.0,5.06,1.65,M3III,3I
104,,BD+43   92,2421,36390,0.0,28.0,13.7,+,44.0,23.0,40.0,5.17,0.03,A2V s,2V
105,Eta Scl,CD-33  152,2429,192545,0.0,27.0,55.7,-,33.0,0.0,26.0,4.81,1.64,M4III,4I
106,48    Psc,BD+15   63,2436,91912,0.0,28.0,12.7,+,16.0,26.0,42.0,6.06,1.58,K5III,5I
107,,BD+09   47,2454,109224,0.0,28.0,20.1,+,10.0,11.0,23.0,6.04,0.43,F6Va vw,6V
108,,BD-21   57,2475,166296,0.0,28.0,21.1,-,20.0,20.0,6.0,6.43,0.59,G0V,0V
109,,CD-40   93,2490,215103,0.0,28.0,26.4,-,39.0,54.0,54.0,5.43,1.56,M0III,0I
110,,BD+36   66,2507,53928,0.0,28.0,56.6,+,36.0,54.0,0.0,6.26,0.92,G5III,5I
111,,CD-51  113,2529,232055,0.0,28.0,43.1,-,50.0,31.0,58.0,6.26,1.09,K0III,0I
112,,BD+76   10,2589,4130,0.0,30.0,55.0,+,77.0,1.0,10.0,6.21,0.84,K0IV,0I
113,,BD+59   68,2626,21457,0.0,30.0,19.9,+,59.0,58.0,38.0,5.94,0.01,B9IIIn,9I
114,28    And,BD+28   75,2628,74041,0.0,30.0,7.3,+,29.0,45.0,6.0,5.23,0.24,A7III,7I
115,,BD-15   84,2630,147307,0.0,29.0,51.9,-,14.0,51.0,51.0,6.14,0.37,F2III,2I
116,,CD-32  154,2632,192567,0.0,29.0,48.9,-,32.0,7.0,0.0,6.57,1.34,K4III,4I
117,12    Cet,BD-04   54,2637,128791,0.0,30.0,2.4,-,3.0,57.0,26.0,5.72,1.56,M0III,0I
118,,CD-24  179,2696,166318,0.0,30.0,22.7,-,23.0,47.0,16.0,5.19,0.12,A5Vn,5V
119,,CD-41  116,2724,215120,0.0,30.0,27.8,-,40.0,56.0,22.0,6.19,0.33,F2III,2I
120,,CD-48  102,2726,215119,0.0,30.0,26.1,-,48.0,12.0,54.0,5.69,0.35,F2V,2V
121,13    Cas,BD+65   67,2729,11243,0.0,31.0,25.3,+,66.0,31.0,10.0,6.18,-0.1,B6V,6V
122,,BD+32   80,2767,53956,0.0,31.0,25.6,+,33.0,34.0,54.0,5.87,1.14,K1III,1I
123,14Lam Cas,BD+53   82,2772,21489,0.0,31.0,46.4,+,54.0,31.0,20.0,4.73,-0.1,B8Vn,8V
124,,BD+52   92,2774,21486,0.0,31.0,41.2,+,52.0,50.0,22.0,5.6,1.15,K2III,2I
125,Lam1Phe,CD-49  115,2834,215131,0.0,31.0,25.0,-,48.0,48.0,13.0,4.77,0.02,A0V,0V
126,Bet1Tuc,CP-63   50,2884,248201,0.0,31.0,32.7,-,62.0,57.0,29.0,4.37,-0.07,B9V,9V
127,Bet2Tuc,CP-63   50,2885,248202,0.0,31.0,33.6,-,62.0,57.0,57.0,4.54,0.15,A2V+A7V,2V
128,,BD+42   99,2888,36453,0.0,32.0,26.8,+,43.0,29.0,41.0,6.7,-0.01,A1Vn,1V
129,,BD+70   24,2904,4142,0.0,33.0,19.3,+,70.0,58.0,54.0,6.42,-0.01,A0Vn,0V
130,15Kap Cas,BD+62  102,2905,11256,0.0,33.0,0.0,+,62.0,55.0,54.0,4.16,0.14,B1Ia,1I
131,52    Psc,BD+19   79,2910,74084,0.0,32.0,35.5,+,20.0,17.0,40.0,5.38,1.08,K0III,0I
132,51    Psc,BD+06   64,2913,109262,0.0,32.0,23.8,+,6.0,57.0,20.0,5.67,0.0,B9.5V,9.
133,,BD+26   76,2924,74083,0.0,32.0,34.5,+,27.0,34.0,50.0,6.67,,A2IV,2I
134,,BD+27   84,2942,74090,0.0,32.0,49.1,+,28.0,16.0,49.0,6.3,1.0,K0III,0I
135,,BD+54  101,2952,21512,0.0,33.0,10.4,+,54.0,53.0,42.0,5.93,1.04,K0III,0I
