x,y,z,brightness
0.5297953511155602,-0.8438843643968335,0.08471166072562049,6.7
0.9993306711851307,0.03657102131776991,0.0008775126501899367,6.29
-0.8841989111779137,0.4668428044253121,0.015813963073860862,4.61
-0.03939086304045641,0.9988610994151287,0.026923298165867873,5.51
0.8375403515635389,0.5349431078298509,0.11118467020306429,5.96
-0.8868112012881769,0.4600884353777383,-0.043411114953260256,5.7
0.5352270260591528,-0.8366430567406934,0.11644924294929429,5.59
-0.8865570509942526,0.45856642822873694,0.06110176948266482,6.13
0.8883863537153737,-0.45836676914644403,-0.025876465650347732,6.18
0.05219036497837006,-0.9986305169278948,0.0036409427007471386,6.19
0.9985135051970622,0.05407755840622622,0.0068115795449806196,6.43
0.5460065965478497,-0.8373062023205587,-0.028197873709864405,5.94
0.9973858078623676,0.058309444870853454,-0.0426797248536737,5.68
0.8349891324549107,0.5502254652172388,0.0067146190263361735,6.07
-0.5498696053977602,0.8329980229018775,0.06130017048324208,2.06
0.8939100392640875,-0.4475554974287854,0.02487807115011137,5.99
-0.9956128100062789,-0.06096696229540162,0.07098001169253422,6.19
-0.8946999847492358,0.4466497701127462,0.003990006008541306,6.06
0.06184095337576513,-0.9968141945303346,0.05037021012877231,6.23
-0.06610729864783603,0.9866128919740894,0.14907993310975676,6.01
-0.4387768072351639,-0.8913849224225038,0.11361264678873892,2.27
0.5552211644114116,-0.8306856231615635,0.04111999589398229,5.53
-0.06536088129949069,0.9949968919269595,-0.07555885289920808,6.33
0.9976780629094805,0.06692159188048136,-0.01264845165896422,5.42
0.8963403356304592,-0.44008294581084006,-0.0538609647920344,3.88
-0.8680837113292086,0.49598322896999897,0.020767924918026814,5.51
0.8655618149395449,-0.49312394146764754,0.08735858784328593,5.03
0.5026440054934609,-0.8577360638429793,0.10787886041594257,6.74
0.8630775278660031,0.5048470968586768,0.015052896268638833,5.84
-0.4994251784274496,0.8560923516363,-0.13296757733575373,5.28
0.8696619736736819,-0.49353496609677305,-0.010549350020417788,5.85
-0.00708124845847498,0.9935970154231434,-0.1127600410716986,6.64
-0.8723166414351962,0.48893753831245923,-0.0019392535089429595,4.89
-0.4876913703506731,-0.8729190616133722,-0.01301687971490459,5.41
-0.4867561334340851,-0.8727350575404376,-0.03744310222441727,5.25
